номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;условный диаметр трубы;вылет;max вертик.нагрузка;исполнение;диапазон_диаметров;тип_опоры;кол-во_труб
H6.0.1-8.10(3);Железобетон;Горизонтальный;Пол;60;1000;0.15;10;67-71;Рядовая опора;1
H6.0.1-8.11(3);Железобетон;Горизонтальный;Пол;65;1000;0.15;11;74-80;Рядовая опора;1
H6.0.1-8.12(3);Железобетон;Горизонтальный;Пол;70;1000;0.15;12;81-86;Рядовая опора;1
H6.0.1-8.13(3);Железобетон;Горизонтальный;Пол;80;1000;0.15;13;88-94;Рядовая опора;1
H6.0.1-8.14(3);Железобетон;Горизонтальный;Пол;90;1000;0.15;14;99-105;Рядовая опора;1
H6.0.1-8.15(3);Железобетон;Горизонтальный;Пол;100;1000;0.15;15;108-116;Рядовая опора;1
H6.0.1-8.16(3);Железобетон;Горизонтальный;Пол;110;1000;0.15;16;120-130;Рядовая опора;1
H6.0.1-8.17(3);Железобетон;Горизонтальный;Пол;125;1000;0.15;17;135-143;Рядовая опора;1
H6.0.1-8.18(3);Железобетон;Горизонтальный;Пол;140;1000;0.15;18;145-155;Рядовая опора;1
H6.0.1-8.19(3);Железобетон;Горизонтальный;Пол;150;1000;0.15;19;162-170;Рядовая опора;1
H6.0.1-8.20(3);Железобетон;Горизонтальный;Пол;175;1000;0.3;20;195-205;Рядовая опора;1
H6.0.1-8.21(3);Железобетон;Горизонтальный;Пол;200;1000;0.3;21;207-219;Рядовая опора;1
H6.0.1-8.22(3);Железобетон;Горизонтальный;Пол;225;1000;0.3;22;248-255;Рядовая опора;1
H6.0.1-8.23(3);Железобетон;Горизонтальный;Пол;250;1000;0.3;23;260-274;Рядовая опора;1
H6.0.1-9.1(1);Железобетон;Горизонтальный;Пол;8;300;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-9.2(1);Железобетон;Горизонтальный;Пол;10;300;0.6;2;16-19;Рядовая опора;1
H6.0.1-9.3(1);Железобетон;Горизонтальный;Пол;15;300;0.6;3;20-24;Рядовая опора;1
H6.0.1-9.4(1);Железобетон;Горизонтальный;Пол;20;300;0.6;4;25-28;Рядовая опора;1
H6.0.1-9.5(1);Железобетон;Горизонтальный;Пол;25;300;0.6;5;32-35;Рядовая опора;1
H6.0.1-9.6(1);Железобетон;Горизонтальный;Пол;32;300;0.6;6;39-46;Рядовая опора;1
H6.0.1-9.7(1);Железобетон;Горизонтальный;Пол;40;300;0.6;7;48-53;Рядовая опора;1
H6.0.1-9.8(1);Железобетон;Горизонтальный;Пол;50;300;0.9;8;53-58;Рядовая опора;1
H6.0.1-9.9(1);Железобетон;Горизонтальный;Пол;50;300;0.9;9;60-65;Рядовая опора;1
H6.0.1-9.10(1);Железобетон;Горизонтальный;Пол;60;300;0.9;10;67-71;Рядовая опора;1
H6.0.1-9.11(1);Железобетон;Горизонтальный;Пол;65;300;0.9;11;74-80;Рядовая опора;1
H6.0.1-9.12(1);Железобетон;Горизонтальный;Пол;70;300;0.9;12;81-86;Рядовая опора;1
H6.0.1-9.13(1);Железобетон;Горизонтальный;Пол;80;300;0.9;13;88-94;Рядовая опора;1
H6.0.1-9.14(1);Железобетон;Горизонтальный;Пол;90;300;1;14;99-105;Рядовая опора;1
H6.0.1-9.15(1);Железобетон;Горизонтальный;Пол;100;300;1;15;108-116;Рядовая опора;1
H6.0.1-9.16(1);Железобетон;Горизонтальный;Пол;110;300;1.5;16;120-130;Рядовая опора;1
H6.0.1-9.17(1);Железобетон;Горизонтальный;Пол;125;300;1.5;17;135-143;Рядовая опора;1
H6.0.1-9.18(1);Железобетон;Горизонтальный;Пол;140;300;1.5;18;145-155;Рядовая опора;1
H6.0.1-9.19(1);Железобетон;Горизонтальный;Пол;150;300;1.5;19;162-170;Рядовая опора;1
H6.0.1-9.20(1);Железобетон;Горизонтальный;Пол;175;300;3.1;20;195-205;Рядовая опора;1
H6.0.1-9.21(1);Железобетон;Горизонтальный;Пол;200;300;3.1;21;207-219;Рядовая опора;1
H6.0.1-9.22(1);Железобетон;Горизонтальный;Пол;225;300;3.1;22;248-255;Рядовая опора;1
H6.0.1-9.23(1);Железобетон;Горизонтальный;Пол;250;300;3.1;23;260-274;Рядовая опора;1
H6.0.1-9.1(2);Железобетон;Горизонтальный;Пол;8;600;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-9.2(2);Железобетон;Горизонтальный;Пол;10;600;0.6;2;16-19;Рядовая опора;1
H6.0.1-9.3(2);Железобетон;Горизонтальный;Пол;15;600;0.6;3;20-24;Рядовая опора;1
H6.0.1-9.4(2);Железобетон;Горизонтальный;Пол;20;600;0.6;4;25-28;Рядовая опора;1
H6.0.1-9.5(2);Железобетон;Горизонтальный;Пол;25;600;0.6;5;32-35;Рядовая опора;1
H6.0.1-9.6(2);Железобетон;Горизонтальный;Пол;32;600;0.6;6;39-46;Рядовая опора;1
H6.0.1-9.7(2);Железобетон;Горизонтальный;Пол;40;600;0.6;7;48-53;Рядовая опора;1
H6.0.1-9.8(2);Железобетон;Горизонтальный;Пол;50;600;0.9;8;53-58;Рядовая опора;1
H6.0.1-9.9(2);Железобетон;Горизонтальный;Пол;50;600;0.9;9;60-65;Рядовая опора;1
H6.0.1-9.10(2);Железобетон;Горизонтальный;Пол;60;600;0.9;10;67-71;Рядовая опора;1
H6.0.1-9.11(2);Железобетон;Горизонтальный;Пол;65;600;0.9;11;74-80;Рядовая опора;1
H6.0.1-9.12(2);Железобетон;Горизонтальный;Пол;70;600;0.9;12;81-86;Рядовая опора;1
H6.0.1-9.13(2);Железобетон;Горизонтальный;Пол;80;600;0.9;13;88-94;Рядовая опора;1
H6.0.1-9.14(2);Железобетон;Горизонтальный;Пол;90;600;1;14;99-105;Рядовая опора;1
H6.0.1-9.15(2);Железобетон;Горизонтальный;Пол;100;600;1;15;108-116;Рядовая опора;1
H6.0.1-9.16(2);Железобетон;Горизонтальный;Пол;110;600;1.5;16;120-130;Рядовая опора;1
H6.0.1-9.17(2);Железобетон;Горизонтальный;Пол;125;600;1.5;17;135-143;Рядовая опора;1
H6.0.1-9.18(2);Железобетон;Горизонтальный;Пол;140;600;1.5;18;145-155;Рядовая опора;1
H6.0.1-9.19(2);Железобетон;Горизонтальный;Пол;150;600;1.5;19;162-170;Рядовая опора;1
H6.0.1-9.20(2);Железобетон;Горизонтальный;Пол;175;600;3.1;20;195-205;Рядовая опора;1
H6.0.1-9.21(2);Железобетон;Горизонтальный;Пол;200;600;3.1;21;207-219;Рядовая опора;1
H6.0.1-9.22(2);Железобетон;Горизонтальный;Пол;225;600;3.1;22;248-255;Рядовая опора;1
H6.0.1-9.23(2);Железобетон;Горизонтальный;Пол;250;600;3.1;23;260-274;Рядовая опора;1
H6.0.1-9.1(3);Железобетон;Горизонтальный;Пол;8;1000;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-9.2(3);Железобетон;Горизонтальный;Пол;10;1000;0.6;2;16-19;Рядовая опора;1
H6.0.1-9.3(3);Железобетон;Горизонтальный;Пол;15;1000;0.6;3;20-24;Рядовая опора;1
H6.0.1-9.4(3);Железобетон;Горизонтальный;Пол;20;1000;0.6;4;25-28;Рядовая опора;1
H6.0.1-9.5(3);Железобетон;Горизонтальный;Пол;25;1000;0.6;5;32-35;Рядовая опора;1
H6.0.1-9.6(3);Железобетон;Горизонтальный;Пол;32;1000;0.6;6;39-46;Рядовая опора;1
H6.0.1-9.7(3);Железобетон;Горизонтальный;Пол;40;1000;0.6;7;48-53;Рядовая опора;1
H6.0.1-9.8(3);Железобетон;Горизонтальный;Пол;50;1000;0.9;8;53-58;Рядовая опора;1
H6.0.1-9.9(3);Железобетон;Горизонтальный;Пол;50;1000;0.9;9;60-65;Рядовая опора;1
H6.0.1-9.10(3);Железобетон;Горизонтальный;Пол;60;1000;0.9;10;67-71;Рядовая опора;1
H6.0.1-9.11(3);Железобетон;Горизонтальный;Пол;65;1000;0.9;11;74-80;Рядовая опора;1
H6.0.1-9.12(3);Железобетон;Горизонтальный;Пол;70;1000;0.9;12;81-86;Рядовая опора;1
H6.0.1-9.13(3);Железобетон;Горизонтальный;Пол;80;1000;0.9;13;88-94;Рядовая опора;1
H6.0.1-9.14(3);Железобетон;Горизонтальный;Пол;90;1000;1;14;99-105;Рядовая опора;1
H6.0.1-9.15(3);Железобетон;Горизонтальный;Пол;100;1000;1;15;108-116;Рядовая опора;1
H6.0.1-9.16(3);Железобетон;Горизонтальный;Пол;110;1000;1.5;16;120-130;Рядовая опора;1
H6.0.1-9.17(3);Железобетон;Горизонтальный;Пол;125;1000;1.5;17;135-143;Рядовая опора;1
H6.0.1-9.18(3);Железобетон;Горизонтальный;Пол;140;1000;1.5;18;145-155;Рядовая опора;1
H6.0.1-9.19(3);Железобетон;Горизонтальный;Пол;150;1000;1.5;19;162-170;Рядовая опора;1
H6.0.1-9.20(3);Железобетон;Горизонтальный;Пол;175;1000;3.1;20;195-205;Рядовая опора;1
H6.0.1-9.21(3);Железобетон;Горизонтальный;Пол;200;1000;3.1;21;207-219;Рядовая опора;1
H6.0.1-9.22(3);Железобетон;Горизонтальный;Пол;225;1000;3.1;22;248-255;Рядовая опора;1
H6.0.1-9.23(3);Железобетон;Горизонтальный;Пол;250;1000;3.1;23;260-274;Рядовая опора;1
H6.0.1-10.1(1);Железобетон;Горизонтальный;Пол;8;300;0.6;1;ноя.15;Рядовая опора;1
H6.0.1-10.2(1);Железобетон;Горизонтальный;Пол;10;300;0.6;2;16-19;Рядовая опора;1
H6.0.1-10.3(1);Железобетон;Горизонтальный;Пол;15;300;0.6;3;20-24;Рядовая опора;1
H6.0.1-10.4(1);Железобетон;Горизонтальный;Пол;20;300;0.6;4;25-28;Рядовая опора;1
H6.0.1-10.5(1);Железобетон;Горизонтальный;Пол;25;300;0.6;5;32-35;Рядовая опора;1
H6.0.1-10.6(1);Железобетон;Горизонтальный;Пол;32;300;0.6;6;39-46;Рядовая опора;1
H6.0.1-10.7(1);Железобетон;Горизонтальный;Пол;40;300;0.6;7;48-53;Рядовая опора;1
H6.0.1-10.8(1);Железобетон;Горизонтальный;Пол;50;300;0.9;8;53-58;Рядовая опора;1
H6.0.1-10.9(1);Железобетон;Горизонтальный;Пол;50;300;0.9;9;60-65;Рядовая опора;1
H6.0.1-10.10(1);Железобетон;Горизонтальный;Пол;60;300;0.9;10;67-71;Рядовая опора;1
H6.0.1-10.11(1);Железобетон;Горизонтальный;Пол;65;300;0.9;11;74-80;Рядовая опора;1
H6.0.1-10.12(1);Железобетон;Горизонтальный;Пол;70;300;0.9;12;81-86;Рядовая опора;1
H6.0.1-10.13(1);Железобетон;Горизонтальный;Пол;80;300;0.9;13;88-94;Рядовая опора;1
H6.0.1-10.14(1);Железобетон;Горизонтальный;Пол;90;300;1;14;99-105;Рядовая опора;1
H6.0.1-10.15(1);Железобетон;Горизонтальный;Пол;100;300;1;15;108-116;Рядовая опора;1
H6.0.1-10.16(1);Железобетон;Горизонтальный;Пол;110;300;1.5;16;120-130;Рядовая опора;1
H6.0.1-10.17(1);Железобетон;Горизонтальный;Пол;125;300;1.5;17;135-143;Рядовая опора;1
H6.0.1-10.18(1);Железобетон;Горизонтальный;Пол;140;300;1.5;18;145-155;Рядовая опора;1
H6.0.1-10.19(1);Железобетон;Горизонтальный;Пол;150;300;1.5;19;162-170;Рядовая опора;1
H6.0.1-10.20(1);Железобетон;Горизонтальный;Пол;175;300;3.1;20;195-205;Рядовая опора;1
H6.0.1-10.21(1);Железобетон;Горизонтальный;Пол;200;300;3.1;21;207-219;Рядовая опора;1
H6.0.1-10.22(1);Железобетон;Горизонтальный;Пол;225;300;3.1;22;248-255;Рядовая опора;1
H6.0.1-10.23(1);Железобетон;Горизонтальный;Пол;250;300;3.1;23;260-274;Рядовая опора;1
